順位,名前,点数
364,関西ペイント,650
365,ココカラファイン,590
366,ヤマエ久野,260
367,東京放送ホールディングス,870
368,日本特殊陶業,760
369,西松建設,590
370,プリマハム,620
371,すかいらーく,590
372,三和ホールディングス,480
373,カシオ計算機,680
374,協和発酵キリン,650
375,シマノ,120
376,ＪＫホールディングス,360
377,日清オイリオグループ,760
378,イオンフィナンシャルサービス,520
379,コムシスホールディングス,900
380,シチズンホールディングス,590
381,近鉄エクスプレス,770
382,ケーヒン,200
383,黒田電気,660
384,パナホーム,260
385,ニプロ,500
386,ＯＵＧホールディングス,360
387,江崎グリコ,630
388,イビデン,100
389,京浜急行電鉄,790
390,大京,250
391,コメリ,560
392,九電工,610
393,島津製作所,610
394,フジ,50
395,東洋エンジニアリング,420
396,ユニプレス,560
397,日本ゼオン,670
398,ヤオコー,200
399,サンデンホールディングス,650
400,ミツバ,170
401,横浜銀行,670
402,石油資源開発,790
403,トクヤマ,260
404,協和エクシオ,590
405,日本製粉,680
406,ＳＣＳＫ,60
407,リンナイ,230
408,京阪電気鉄道,810
409,アルパイン,500
410,コーナン商事,340
411,セイコーホールディングス,780
412,コクヨ,530
413,三協立山,380
414,ＮＥＣネッツエスアイ,150
415,大正製薬ホールディングス,840
416,東洋インキＳＣホールディングス,750
417,アマダホールディングス,500
418,ＪＶＣケンウッド,330
419,ミライト・ホールディングス,750
420,コネクシオ,590
421,スターゼン,110
422,オンワードホールディングス,560
423,シナネンホールディングス,570
424,ＵＫＣホールディングス,360
425,丸文,310
426,近鉄百貨店,770
427,アスクル,560
428,テレビ朝日ホールディングス,830
429,富士通ゼネラル,690
430,パルコ,500
431,塩野義製薬,370
432,シップヘルスケアホールディングス,960
433,オークワ,200
434,不二製油グループ本社,750
435,ニチイ学館,610
436,ゲオホールディングス,440
437,マックスバリュ西日本,880
438,日本ユニシス,740
439,ショーワ,60
440,ダイフク,250
441,イオンディライト,280
442,トッパン・フォームズ,640
443,東建コーポレーション,710
444,東急建設,710
445,日本ペイントホールディングス,870
446,良品計画,560
447,ニチユ三菱フォークリフト,850
448,クレディセゾン,660
449,リコーリース,680
450,カワチ薬品,560
451,エクセディ,310
452,加賀電子,360
453,アズビル,300
454,曙ブレーキ工業,770
455,福山通運,350
456,三井ホーム,180
457,相鉄ホールディングス,510
458,タチエス,60
459,京成電鉄,430
460,蝶理,200
461,昭和産業,230
462,ＳＢＩホールディングス,360
463,鴻池運輸,560
464,ノジマ,110
465,高砂熱学工業,950
466,上組,400
467,イオン九州,320
468,愛知製鋼,290
469,いなげや,50
470,因幡電機産業,500
471,菱電商事,310
472,トピー工業,580
473,ＳＣＲＥＥＮホールディングス,420
474,東京建物,350
475,すてきナイスグループ,700
476,エクセル,560
477,住友大阪セメント,650
478,リョーサン,260
479,ホシザキ電機,750
480,前田道路,390
481,ハウス食品グループ本社,940
482,明電舎,170
483,北越紀州製紙,860
484,ふくおかフィナンシャルグループ,790
485,日信工業,400
486,リョービ,250
487,太陽誘電,110
488,グローリー,640
489,日本精機,620
490,パソナグループ,640
491,コジマ,310
492,ニフコ,200
493,ＳＵＭＣＯ,1
494,千葉銀行,300
495,日本マクドナルドホールディングス,1120
496,丸大食品,700
497,ナフコ,200
498,カルビー,550
499,青山商事,170
500,シスメックス,800
501,ミツウロコグループホールディングス,1040
502,岡村製作所,770
503,ナブテスコ,310
504,宝ホールディングス,690
505,アコム,260
506,三信電気,490
507,アルペン,500
508,ノーリツ,260
509,東芝プラントシステム,940
510,極洋,560
511,不二越,310
512,コナミホールディングス,750
513,ユアテック,530
514,ＴＨＫ,1
515,ハピネット,230
516,船井電機,280
517,八千代工業,340
518,三菱製紙,410
519,河西工業,670
520,ＡＤＥＫＡ,60
521,エスフーズ,110
522,神戸物産,450
523,クリエイトＳＤホールディングス,690
524,ＮＥＣキャピタルソリューション,680
525,エービーシー・マート,350
526,ヒューリック,530
527,愛三工業,340
528,アクシアル　リテイリング,730
529,ほくやく・竹山ホールディングス,930
530,静岡銀行,690
531,南海電気鉄道,840
532,ゼビオホールディングス,460
533,シークス,320
534,住友ベークライト,790
535,オートバックスセブン,780
536,トーホー,60
537,西部瓦斯,220
538,マックスバリュ東海,730
539,ミスミグループ本社,850
540,ニッセンホールディングス,570
541,コーセー,320
542,リンテック,530
543,東宝,30
544,オリエントコーポレーション,710
545,新日鉄住金ソリューションズ,1180
546,奥村組,680
547,サイバーエージェント,220
548,ユタカ技研,580
549,みらかホールディングス,750
550,日新,150
551,三菱倉庫,490
552,タダノ,50
553,イオンモール,260
554,わらべや日洋,700
555,アルコニックス,620
556,ハイレックスコーポレーション,830
557,トランス・コスモス,800
558,セントラル硝子,760
559,東亜建設工業,790
560,クラリオン,530
561,平和,1
562,中央魚類,280
563,ポーラ・オルビスホールディングス,950
564,プレス工業,640
565,椿本チエイン,400
566,トーエネック,530
567,日本製鋼所,380
568,ほくほくフィナンシャルグループ,850
569,Ｊ－オイルミルズ,670
570,ジーテクト,280
571,新明和工業,400
572,日本電気硝子,780
573,ウエルシアホールディングス,810
574,ワコールホールディングス,780
575,日本航空電子工業,960
576,小野建,230
577,栗田工業,610
578,高松コンストラクショングループ,1000
579,フォスター電機,310
580,アインファーマシーズ,230
581,佐藤商事,200
582,ＴＯＫＡＩホールディングス,360
583,大和工業,370
584,美津濃,110
585,エイチワン,1
586,沖縄電力,610
587,アダストリア,340
588,ＡＯＫＩホールディングス,360
589,大氣社,260
590,日立国際電気,700
591,エレマテック,590
592,日本調剤,610
593,昭和電線ホールディングス,740
594,共英製鋼,350
595,昭光通商,560
596,ＴＳＩホールディングス,360
597,吉野家ホールディングス,510
598,三機工業,670
599,松田産業,280
600,アルバック,580
601,森永製菓,670
602,コロワイド,550
603,淀川製鋼所,420
604,エフテック,530
605,タカラスタンダード,750
606,ベスト電器,360
607,住友倉庫,440
608,ＤＭＧ森精機,620
609,シダックス,700
610,日本電設工業,870
611,八十二銀行,390
612,日本空港ビルデング,830
613,マルイチ産商,410
614,ガンホー・オンライン・エンターテイメント,760
615,ネクソン,290
616,イオン北海道,610
617,古河機械金属,750
618,トーメンデバイス,220
619,山陽特殊製鋼,740
620,日産化学工業,870
621,三井倉庫ホールディングス,840
622,ニッコンホールディングス,780
623,倉敷紡績,760
624,エイベックス・グループ・ホールディングス,1120
625,ケーヨー,260
626,大建工業,660
627,丸善ＣＨＩホールディングス,890
628,ダスキン,310
629,スクウェア・エニックス・ホールディングス,1020
630,日油,250
631,三洋化成工業,790
632,フィード・ワン,50
633,パーク２４,500
634,ジョイフル本田,300
635,静岡ガス,420
636,オークマ,260
637,ＴＰＲ,1
638,東京製鐵,410
639,フジテック,580
640,大紀アルミニウム工業所,900
641,マックスバリュ中部,810
642,エフピコ,500
643,サンエー,60
644,アドバンテスト,190
645,スカパーＪＳＡＴホールディングス,810
646,やまや,120
647,大日精化工業,750
648,ミニストップ,650
649,日本化薬,560
650,参天製薬,380
651,ベルク,550
652,日本オラクル,590
653,日本光電工業,810
654,サンケン電気,760
655,リロ・ホールディング,660
656,ジューテックホールディングス,800
657,ウシオ電機,310
658,カゴメ,310
659,ユニチカ,200
660,日本道路,610
661,山口フィナンシャルグループ,900
662,ニチアス,60
663,武蔵精密工業,640
664,ＮＳユナイテッド海運,390
665,井関農機,620
666,スターツコーポレーション,830
667,久光製薬,440
668,常陽銀行,360
669,日立マクセル,650
670,ユーシン,60
671,ガリバーインターナショナル,840
672,ワタミ,60
673,米久,590
674,中部飼料,370
675,島忠,290
676,ＧＳＩクレオス,560
677,エフ・シー・シー,300
678,キタムラ,560
679,堀場製作所,760
680,ミツミ電機,460
681,ホッカンホールディングス,810
682,丸一鋼管,590
683,プレナス,560
684,エヌ・ティ・ティ都市開発,560
685,ロート製薬,560
686,キユーソー流通システム,950
687,ヨロズ,250
688,鉄建建設,800
689,トーカン,200
690,クレハ,500
691,西日本シティ銀行,610
692,タカラトミー,590
693,タマホーム,120
694,ダイドードリンコ,740
695,牧野フライス製作所,860
696,中山製鋼所,710
697,東亞合成,140
698,トーモク,260
699,東洋建設,380
700,富士ソフト,170
701,ＩＪＴテクノロジーホールディングス,830
702,ホシデン,140
703,日本曹達,140
704,マックスバリュ九州,910
705,立花エレテック,610
706,ＳＡＮＫＹＯ,1
707,サカタインクス,650
708,福田組,670
709,メディアスホールディングス,650
710,アース製薬,320
711,新光商事,460
712,中電工,280
713,明和産業,170
714,住友電設,380
715,日産東京販売ホールディングス,1040
716,北洋銀行,610
717,アイカ工業,610
718,第一実業,240
719,日立キャピタル,590
720,ネットワンシステムズ,320
721,チヨダ,50
722,新光電気工業,870
723,千趣会,320
724,ディー・エヌ・エー,200
725,横浜冷凍,560
726,ＳＢＳホールディングス,420
727,グンゼ,100
728,サーラコーポレーション,770
729,内田洋行,310
730,サイゼリヤ,310
731,アーレスティ,260
732,大豊建設,370
733,イーグル工業,660
734,日立工機,560
735,ＶＴホールディングス,360
736,小野薬品工業,670
737,名村造船所,480
738,クスリのアオキ,590
739,ダイキョーニシカワ,640
740,大水,140
741,第一興商,400
742,大黒天物産,810
743,日本無線,210
744,サンゲツ,170
745,西華産業,370
746,高砂香料工業,930
747,スルガ銀行,690
748,伯東,370
749,ユナイテッドアローズ,380
750,フジシールインターナショナル,940
751,三櫻工業,370
752,群馬銀行,450
753,中央物産,200
754,あおぞら銀行,600
755,佐鳥電機,610
756,日本冶金工業,760
757,日機装,590
758,広島銀行,700
759,テレビ東京ホールディングス,800
760,文化シヤッター,340
761,トプコン,500
762,西松屋チェーン,240
763,小林製薬,760
764,十六銀行,660
765,ぴあ,200
766,日医工,200
767,淺沼組,380
768,青木あすなろ建設,770
769,東都水産,180
770,ディスコ,310
771,日本瓦斯,670
772,ヒロセ電機,610
773,合同製鐵,280
774,カナモト,260
775,日鉄鉱業,400
776,シロキ工業,670
777,ナカノフドー建設,760
778,ロイヤルホールディングス,750
779,東芝機械,640
780,中国銀行,690
781,伊予銀行,250
782,日本ケミコン,710
783,日本プラスト,650
784,デサント,110
785,インターネットイニシアティブ,290
786,東洋鋼鈑,260
787,トナミホールディングス,450
788,マブチモーター,230
789,ダイヘン,50
790,カナデン,280
791,エスビー食品,400
792,イエローハット,230
793,ダイダン,160
794,東邦亜鉛,30
795,ベルーナ,250
796,東プレ,640
797,リゾートトラスト,760
798,ドトール・日レスホールディングス,1040
799,関西スーパーマーケット,860
800,日本写真印刷,980
801,三菱製鋼,490
802,バイテックホールディングス,740
803,飛島建設,520
804,セリア,260
805,橋本総業,290
806,デジタル・アドバタイジング・コンソーシア,1220
807,大都魚類,330
808,キッツ,290
809,ＪＳＰ,1
810,クリナップ,530
811,東鉄工業,430
812,コニシ,260
813,トレンドマイクロ,640
814,京都銀行,610
815,トランコム,560
816,東海カーボン,610
817,トラスコ中山,650
818,カノークス,590
819,クオール,500
820,池田泉州ホールディングス,950
821,ＭｒＭａｘ,260
822,エコス,260
823,ヤギ,50
824,セブン銀行,420
825,東亜道路工業,690
826,積水化成品工業,880
827,錢高組,360
828,キョーリン製薬ホールディングス,930
829,七十七銀行,630
830,ミクシィ,320
831,ＪＡＬＵＸ,1
832,大垣共立銀行,840
833,東映,1
834,オープンハウス,260
835,浜松ホトニクス,530
836,ヤマザワ,110
837,今仙電機製作所,970
838,東京エレクトロン　デバイス,810
839,東光高岳,650
840,アサヒホールディングス,450
841,サンワテクノス,350
842,三陽商会,350
843,マックスバリュ東北,760
